curve,cutoff,horizon,arm,actual,pred,mape,difficulty
run_0,3,1,A_domhan,1.288241982460022,1.3401890815328814,4.032402280017412,Medium
run_0,3,2,A_domhan,1.237549066543579,1.304191208060156,5.385010042689103,Medium
run_0,3,3,A_domhan,1.1944007873535156,1.2802582826311428,7.188332106500473,Medium
run_0,3,1,B_lcpfn,1.288241982460022,1.3420937061309814,4.180249083958933,Medium
run_0,3,2,B_lcpfn,1.237549066543579,1.330164909362793,7.483811779510764,Medium
run_0,3,3,B_lcpfn,1.1944007873535156,1.310197353363037,9.694950575685473,Medium
run_0,4,1,A_domhan,1.237549066543579,1.2535357944785435,1.2918055830799986,Medium
run_0,4,2,A_domhan,1.1944007873535156,1.2160134458486376,1.8094980113844392,Medium
run_0,4,3,A_domhan,1.164419174194336,1.188561613502377,2.0733460804392343,Medium
run_0,4,1,B_lcpfn,1.237549066543579,1.2398320436477661,0.1844756839066808,Medium
run_0,4,2,B_lcpfn,1.1944007873535156,1.2202317714691162,2.162673064946264,Medium
run_0,4,3,B_lcpfn,1.164419174194336,1.1927077770233154,2.4294174688897954,Medium
run_0,5,1,A_domhan,1.1944007873535156,1.1906834183504629,0.3112329665563502,Medium
run_0,5,2,A_domhan,1.164419174194336,1.154778012341802,0.8279803412894304,Medium
run_0,5,3,A_domhan,1.157781958580017,1.125631540635516,2.776897472468184,Medium
run_0,5,1,B_lcpfn,1.1944007873535156,1.1925166845321655,0.15774460644192842,Medium
run_0,5,2,B_lcpfn,1.164419174194336,1.16738760471344,0.2549280005765851,Medium
run_0,5,3,B_lcpfn,1.157781958580017,1.141676902770996,1.3910266686806327,Medium
run_0,6,1,A_domhan,1.164419174194336,1.1590097388948881,0.4645608230550323,Medium
run_0,6,2,A_domhan,1.157781958580017,1.1312872558809224,2.288401758444191,Medium
run_0,6,3,A_domhan,1.1533043384552002,1.108373422031612,3.89584214031235,Medium
run_0,6,1,B_lcpfn,1.164419174194336,1.1581693887710571,0.536729861701483,Medium
run_0,6,2,B_lcpfn,1.157781958580017,1.1365152597427368,1.8368483529803148,Medium
run_0,6,3,B_lcpfn,1.1533043384552002,1.1168922185897827,3.1571995917564912,Medium
run_0,7,1,A_domhan,1.157781958580017,1.1365234963965558,1.8361369363134756,Medium
run_0,7,2,A_domhan,1.1533043384552002,1.115131779505622,3.3098426561638288,Medium
run_0,7,3,A_domhan,1.1521055698394775,1.0972484376600655,4.761467491825011,Medium
run_0,7,1,B_lcpfn,1.157781958580017,1.1341407299041748,2.0419413604300334,Medium
run_0,7,2,B_lcpfn,1.1533043384552002,1.1172124147415161,3.1294362216678735,Medium
run_0,7,3,B_lcpfn,1.1521055698394775,1.1015287637710571,4.389945452261571,Medium
run_1,3,1,A_domhan,1.3965532779693604,1.4187430200332454,1.5888933429127543,Easy
run_1,3,2,A_domhan,1.3392317295074463,1.3834766214799727,3.3037517703377,Easy
run_1,3,3,A_domhan,1.3022968769073486,1.3606464946311458,4.480515830028246,Easy
run_1,3,1,B_lcpfn,1.3965532779693604,1.4477554559707642,3.6663247159359114,Easy
run_1,3,2,B_lcpfn,1.3392317295074463,1.4350290298461914,7.15315342580617,Easy
run_1,3,3,B_lcpfn,1.3022968769073486,1.4139831066131592,8.576095949107955,Easy
run_1,4,1,A_domhan,1.3392317295074463,1.3361513520210564,0.2300107904046466,Easy
run_1,4,2,A_domhan,1.3022968769073486,1.2849877975150175,1.3291193198156321,Easy
run_1,4,3,A_domhan,1.267974853515625,1.2439916626012573,1.891456352456141,Easy
run_1,4,1,B_lcpfn,1.3392317295074463,1.346649408340454,0.5538756788368469,Easy
run_1,4,2,B_lcpfn,1.3022968769073486,1.3263823986053467,1.8494647514778308,Easy
run_1,4,3,B_lcpfn,1.267974853515625,1.298624873161316,2.4172419161712675,Easy
run_1,5,1,A_domhan,1.3022968769073486,1.2889755172240251,1.0229126645038578,Easy
